lstm_feat_0,lstm_feat_1,lstm_feat_2,lstm_feat_3,lstm_feat_4,lstm_feat_5,lstm_feat_6,lstm_feat_7,lstm_feat_8,lstm_feat_9,lstm_feat_10,lstm_feat_11,lstm_feat_12,lstm_feat_13,lstm_feat_14,lstm_feat_15,date,target_next_price
0.0,0.0,0.7031792,0.0,2.3254144,0.0,0.0,1.2803998,0.0,0.009677694,0.0,0.0,0.0,0.37097865,0.0,0.0,1998-09,7.050092764378486
0.0,0.0,0.60427505,0.0,2.2269843,0.0,0.0,1.2590266,0.0,0.06501572,0.0,0.0,0.0,0.47136208,0.0,0.0,1998-10,0.8665511265164645
0.0,0.0,0.38324672,0.0,1.8864225,0.0,0.0,1.121204,0.0,0.18374048,0.0,0.0,0.0,0.6615235,0.0,0.0,1998-11,-2.4054982817869512
0.0,0.0,0.0050938018,0.0,1.2358061,0.0,0.0,0.8366987,0.0,0.36630973,0.0,0.0,0.0,0.93686706,0.042233013,0.0,1998-12,0.5281690140845146
0.0,0.0,0.0,0.0,0.6584308,0.0,0.0,0.58203214,0.0,0.5044231,0.0,0.0,0.0,1.1277696,0.12018863,0.0,1999-01,-3.8528896672504422
0.0,0.0,0.0,0.0,0.21958995,0.0,0.0,0.40759814,0.0,0.6180334,0.0,0.0,0.0,1.231344,0.16556567,0.12352242,1999-02,0.5464480874317018
0.0,0.0,0.0,0.0,0.03776849,0.0,0.0,0.34382495,0.0,0.6626272,0.0,0.0,0.0,1.2496327,0.17605165,0.20088351,1999-03,-2.717391304347826
0.0,0.0,0.0,0.0,0.004195329,0.0,0.0,0.33676615,0.010380559,0.6643778,0.0,0.0,0.0,1.233776,0.16876605,0.20920894,1999-04,-1.6759776536312954
0.0,0.0,0.0,0.0,0.05368615,0.0,0.0,0.36979398,0.037607346,0.6539329,0.0,0.0,0.0,1.2005183,0.14377528,0.18678224,1999-05,1.5151515151515234
0.0,0.0,0.0,0.0,0.16614133,0.0,0.0,0.4293687,0.04548752,0.6309508,0.0,0.0,0.0,1.1548704,0.106852986,0.14537948,1999-06,-4.104477611940303
0.0,0.0,0.0,0.0,0.45128903,0.0,0.0,0.5453923,0.012273833,0.5511921,0.0,0.0,0.0,1.0595676,0.039988853,0.02537506,1999-07,3.1128404669260727
0.0,0.0,0.30025718,0.0,1.5162377,0.0,0.0,0.9416082,0.0,0.21331614,0.0,0.0,0.0,0.67268896,0.0,0.0,1999-08,-0.7547169811320728
