transformer_feat_0,transformer_feat_1,transformer_feat_2,transformer_feat_3,transformer_feat_4,transformer_feat_5,transformer_feat_6,transformer_feat_7,transformer_feat_8,transformer_feat_9,transformer_feat_10,transformer_feat_11,transformer_feat_12,transformer_feat_13,transformer_feat_14,transformer_feat_15,date,target_pct_change
0.0,0.0,0.6572833,0.0,0.078576095,0.0,0.0,0.0,0.32898784,0.0,0.0,0.037438903,0.935675,0.0,0.0,0.04127832,2009-12,-0.6060606060606003
0.0,0.0,0.6477132,0.0,0.096461155,0.0,0.0,0.0,0.3141913,0.0,0.0,0.05047749,0.92039865,0.0,0.0,0.06290937,2010-01,-4.47154471544716
0.0,0.0,0.6411256,0.0,0.085366875,0.0,0.0,0.0,0.31697533,0.0,0.0,0.042683255,0.911787,0.0,0.0,0.05092587,2010-02,-2.3404255319148968
0.0,0.0,0.6013767,0.0,0.068364635,0.0,0.0,0.0,0.30610177,0.0,0.0,0.03143404,0.85576284,0.0,0.0,0.0359573,2010-03,-1.1982570806100157
0.0,0.0,0.56523734,0.0,0.055392727,0.0,0.0,0.0,0.29483792,0.0,0.0,0.022987982,0.804624,0.0,0.0,0.025202833,2010-04,-0.1102535832414647
0.0,0.0,0.56733567,0.0,0.028953375,0.0,0.0,0.0,0.3105596,0.0,0.0,0.0039957254,0.80980515,0.0,0.0,0.0,2010-05,-3.090507726269313
0.0,0.0,0.57051396,0.0024980232,0.023608452,0.0,0.0,0.0,0.31514403,0.0,0.0,9.171525e-05,0.8148302,0.0,0.0,0.0,2010-06,8.542141230068337
0.0,0.0,0.5906672,0.027081914,0.0,0.0,0.0,0.0,0.34230244,0.0,0.0,0.0,0.8464127,0.0,0.0,0.0,2010-07,18.46799580272824
0.0,0.0,0.5943356,0.015566416,0.010071559,0.0,0.0,0.0,0.33480763,0.0,0.0,0.0,0.85033554,0.0,0.0,0.0,2010-08,11.514614703277235
0.0,0.0,0.5853709,0.0084397495,0.018266426,0.0,0.0,0.0,0.3256896,0.0,0.0,0.0,0.83672166,0.0,0.0,0.0,2010-09,3.733121525019848
0.0,0.0,0.60200924,0.0,0.07502872,0.0,0.0,0.0,0.3027321,0.0,0.0,0.036193915,0.85613436,0.0,0.0,0.043536343,2010-10,1.3782542113323213
0.0,0.0,0.57076013,0.0,0.095667824,0.0,0.0,0.0,0.2753408,0.0040669516,0.0068279877,0.051714078,0.80932415,0.0,0.0,0.07081252,2010-11,5.513595166163129
